BALANCE_AS_OF_DATE,BALANCE_AS_OF_DAY,PLANT_NAME,MATERIAL_NAME,UNRESRICTED_STOCK,STOCK_SELL_VALUE,SHELF_LIFE_IN_MONTH,SHELF_LIFE_IN_DAYS,AGING_DAYS,IS_OVER_SHELFLIFE,DAYS_TO_EXPIRE,LOSS_VALUE_PERCENT,LOSS_VALUE(OCCUR),LOSS_VALUE,PREVENTABLE
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,65975,81023898,8,240,276.00,YES,-36,25,"20,255,974.50","20,255,974.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,64625,79365963,8,240,276.00,YES,-36,25,"19,841,490.75","19,841,490.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,64625,79365963,8,240,245.00,YES,-5,25,"19,841,490.75","19,841,490.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,62000,76142200,8,240,245.00,YES,-5,25,"19,035,550.00","19,035,550.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,61350,75343935,8,240,306.00,YES,-66,25,"18,835,983.75","18,835,983.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,53450,65641945,8,240,276.00,YES,-36,25,"16,410,486.25","16,410,486.25", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,53450,65641945,8,240,245.00,YES,-5,25,"16,410,486.25","16,410,486.25", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,49500,60790950,8,240,337.00,YES,-97,25,"15,197,737.50","15,197,737.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,48125,59102313,8,240,337.00,YES,-97,25,"14,775,578.25","14,775,578.25", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,48125,59102313,8,240,306.00,YES,-66,25,"14,775,578.25","14,775,578.25", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,48125,59102313,8,240,276.00,YES,-36,25,"14,775,578.25","14,775,578.25", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,48125,59102313,8,240,245.00,YES,-5,25,"14,775,578.25","14,775,578.25", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,44000,54036400,8,240,337.00,YES,-97,25,"13,509,100.00","13,509,100.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,44000,54036400,8,240,306.00,YES,-66,25,"13,509,100.00","13,509,100.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,44000,54036400,8,240,276.00,YES,-36,25,"13,509,100.00","13,509,100.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,35750,43904575,8,240,337.00,YES,-97,25,"10,976,143.75","10,976,143.75", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,35750,43904575,8,240,306.00,YES,-66,25,"10,976,143.75","10,976,143.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,28875,35461388,8,240,245.00,YES,-5,25,"8,865,347.00","8,865,347.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,26125,32084113,8,240,337.00,YES,-97,25,"8,021,028.25","8,021,028.25", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,26075,32022708,8,240,306.00,YES,-66,25,"8,005,677.00","8,005,677.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,24750,30395475,8,240,337.00,YES,-97,25,"7,598,868.75","7,598,868.75", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,24750,30395475,8,240,306.00,YES,-66,25,"7,598,868.75","7,598,868.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,24700,30334070,8,240,276.00,YES,-36,25,"7,583,517.50","7,583,517.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,23375,28706838,8,240,276.00,YES,-36,25,"7,176,709.50","7,176,709.50", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,16500,20263650,8,240,245.00,YES,-5,25,"5,065,912.50","5,065,912.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,15125,18575013,8,240,276.00,YES,-36,25,"4,643,753.25","4,643,753.25", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,15125,18575013,8,240,245.00,YES,-5,25,"4,643,753.25","4,643,753.25", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,13750,16886375,8,240,337.00,YES,-97,25,"4,221,593.75","4,221,593.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,13750,16886375,8,240,276.00,YES,-36,25,"4,221,593.75","4,221,593.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,13750,16886375,8,240,245.00,YES,-5,25,"4,221,593.75","4,221,593.75", -   
2023-12-31,45291,SINGAPORE-WAREHOUSE,MAT-0293,8250,15675000,5,150,550.00,YES,-400,25,"3,918,750.00","3,918,750.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0268,1020000,7099200,12,360,184.00,NO,176,50, -   ,"3,549,600.00","3,549,600.00"
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,11000,13509100,8,240,276.00,YES,-36,25,"3,377,275.00","3,377,275.00", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,9625,11820463,8,240,276.00,YES,-36,25,"2,955,115.75","2,955,115.75", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,9625,11820463,8,240,276.00,YES,-36,25,"2,955,115.75","2,955,115.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,9625,11820463,8,240,245.00,YES,-5,25,"2,955,115.75","2,955,115.75", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0341,9625,11820463,8,240,245.00,YES,-5,25,"2,955,115.75","2,955,115.75", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0268,0,5449281,12,360,368.00,YES,-8,50,"2,724,640.50","2,724,640.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0268,0,5441638,12,360,337.00,NO,23,50, -   ,"2,720,819.00","2,720,819.00"
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0268,764275,5441638,12,360,306.00,NO,54,50, -   ,"2,720,819.00","2,720,819.00"
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0001,544250,6547328,3,90,550.00,YES,-460,40,"2,618,931.20","2,618,931.20", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,8250,10131825,8,240,337.00,YES,-97,25,"2,532,956.25","2,532,956.25", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,8250,10131825,8,240,306.00,YES,-66,25,"2,532,956.25","2,532,956.25", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,8250,10131825,8,240,276.00,YES,-36,25,"2,532,956.25","2,532,956.25", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0001,524925,6314848,3,90,398.00,YES,-308,40,"2,525,939.20","2,525,939.20", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0001,524925,6314848,3,90,368.00,YES,-278,40,"2,525,939.20","2,525,939.20", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0001,476850,5736506,3,90,429.00,YES,-339,40,"2,294,602.40","2,294,602.40", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0314,521650,6233718,4,120,519.00,YES,-399,35,"2,181,801.30","2,181,801.30", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0314,521650,6233718,4,120,490.00,YES,-370,35,"2,181,801.30","2,181,801.30", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0314,521650,6233718,4,120,459.00,YES,-339,35,"2,181,801.30","2,181,801.30", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0001,451350,5429741,3,90,519.00,YES,-429,40,"2,171,896.40","2,171,896.40", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0001,451350,5429741,3,90,490.00,YES,-400,40,"2,171,896.40","2,171,896.40", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0001,451350,5429741,3,90,459.00,YES,-369,40,"2,171,896.40","2,171,896.40", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0001,451350,5429741,3,90,398.00,YES,-308,40,"2,171,896.40","2,171,896.40", -   
2023-12-31,45291,SINGAPORE-WAREHOUSE,MAT-0293,4500,8550000,5,150,550.00,YES,-400,25,"2,137,500.00","2,137,500.00", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0314,482650,5767668,4,120,429.00,YES,-309,35,"2,018,683.80","2,018,683.80", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0145,625500,6724125,6,180,337.00,YES,-157,30,"2,017,237.50","2,017,237.50", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0145,625275,6721706,6,180,306.00,YES,-126,30,"2,016,511.80","2,016,511.80", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0314,481400,5752730,4,120,245.00,YES,-125,35,"2,013,455.50","2,013,455.50", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0001,400425,4817113,3,90,306.00,YES,-216,40,"1,926,845.20","1,926,845.20", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0001,400425,4817113,3,90,276.00,YES,-186,40,"1,926,845.20","1,926,845.20", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0001,400425,4817113,3,90,245.00,YES,-155,40,"1,926,845.20","1,926,845.20", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0389,390000,4761900,5,150,184.00,YES,-34,40,"1,904,760.00","1,904,760.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0142,509625,5412218,6,180,337.00,YES,-157,35,"1,894,276.30","1,894,276.30", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0142,509625,5412218,6,180,306.00,YES,-126,35,"1,894,276.30","1,894,276.30", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0001,393475,4733504,3,90,276.00,YES,-186,40,"1,893,401.60","1,893,401.60", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0145,574225,6172919,6,180,184.00,YES,-4,30,"1,851,875.70","1,851,875.70", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0145,569850,6125888,6,180,550.00,YES,-370,30,"1,837,766.40","1,837,766.40", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0145,569825,6125619,6,180,550.00,YES,-370,30,"1,837,685.70","1,837,685.70", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0145,569825,6125619,6,180,519.00,YES,-339,30,"1,837,685.70","1,837,685.70", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0314,437825,5232009,4,120,519.00,YES,-399,35,"1,831,203.15","1,831,203.15", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0314,437825,5232009,4,120,490.00,YES,-370,35,"1,831,203.15","1,831,203.15", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0145,565100,6074825,6,180,184.00,YES,-4,30,"1,822,447.50","1,822,447.50", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0268,0,3636122,12,360,368.00,YES,-8,50,"1,818,061.00","1,818,061.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0268,0,3631022,12,360,337.00,NO,23,50, -   ,"1,815,511.00","1,815,511.00"
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0268,509975,3631022,12,360,306.00,NO,54,50, -   ,"1,815,511.00","1,815,511.00"
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0268,509975,3631022,12,360,276.00,NO,84,50, -   ,"1,815,511.00","1,815,511.00"
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0145,559275,6012206,6,180,429.00,YES,-249,30,"1,803,661.80","1,803,661.80", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0268,506150,3604500,12,360,276.00,NO,84,50, -   ,"1,802,250.00","1,802,250.00"
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0145,555000,5966250,6,180,337.00,YES,-157,30,"1,789,875.00","1,789,875.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0145,554850,5964638,6,180,306.00,YES,-126,30,"1,789,391.40","1,789,391.40", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0145,554850,5964638,6,180,276.00,YES,-96,30,"1,789,391.40","1,789,391.40", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0001,370225,4453807,3,90,337.00,YES,-247,40,"1,781,522.80","1,781,522.80", -   
2023-12-31,45291,SINGAPORE-WAREHOUSE,MAT-0293,3750,7125000,5,150,550.00,YES,-400,25,"1,781,250.00","1,781,250.00", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0001,365875,4401476,3,90,519.00,YES,-429,40,"1,760,590.40","1,760,590.40", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0001,365875,4401476,3,90,490.00,YES,-400,40,"1,760,590.40","1,760,590.40", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0145,543975,5847731,6,180,215.00,YES,-35,30,"1,754,319.30","1,754,319.30", -   
2023-12-31,45291,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,550.00,YES,-310,30,"1,710,000.00","1,710,000.00", -   
2024-01-31,45322,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,519.00,YES,-279,30,"1,710,000.00","1,710,000.00", -   
2024-02-29,45351,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,490.00,YES,-250,30,"1,710,000.00","1,710,000.00", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,459.00,YES,-219,30,"1,710,000.00","1,710,000.00", -   
2024-03-31,45382,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,459.00,YES,-219,30,"1,710,000.00","1,710,000.00", -   
2024-04-30,45412,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,429.00,YES,-189,30,"1,710,000.00","1,710,000.00", -   
2024-05-31,45443,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,398.00,YES,-158,30,"1,710,000.00","1,710,000.00", -   
2024-06-30,45473,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,368.00,YES,-128,30,"1,710,000.00","1,710,000.00", -   
2024-07-31,45504,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,337.00,YES,-97,30,"1,710,000.00","1,710,000.00", -   
2024-08-31,45535,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,306.00,YES,-66,30,"1,710,000.00","1,710,000.00", -   
2024-09-30,45565,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,276.00,YES,-36,30,"1,710,000.00","1,710,000.00", -   
2024-10-31,45596,SINGAPORE-WAREHOUSE,MAT-0125,3000,5700000,8,240,245.00,YES,-5,30,"1,710,000.00","1,710,000.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0341,5500,6754550,8,240,337.00,YES,-97,25,"1,688,637.50","1,688,637.50", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0341,5500,6754550,8,240,306.00,YES,-66,25,"1,688,637.50","1,688,637.50", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0341,5500,6754550,8,240,276.00,YES,-36,25,"1,688,637.50","1,688,637.50", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0321,911575,6700076,3,90,398.00,YES,-308,25,"1,675,019.00","1,675,019.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0001,346225,4165087,3,90,306.00,YES,-216,40,"1,666,034.80","1,666,034.80", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0328,438250,4150228,6,180,368.00,YES,-188,40,"1,660,091.20","1,660,091.20", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0328,437825,4137446,6,180,490.00,YES,-310,40,"1,654,978.40","1,654,978.40", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0328,424325,4103223,6,180,276.00,YES,-96,40,"1,641,289.20","1,641,289.20", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0389,360000,4100400,5,150,519.00,YES,-369,40,"1,640,160.00","1,640,160.00", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0389,360000,4100400,5,150,490.00,YES,-340,40,"1,640,160.00","1,640,160.00", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0389,360000,4100400,5,150,459.00,YES,-309,40,"1,640,160.00","1,640,160.00", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0145,506800,5448100,6,180,490.00,YES,-310,30,"1,634,430.00","1,634,430.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0328,424325,4073520,6,180,306.00,YES,-126,40,"1,629,408.00","1,629,408.00", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0389,333000,4019310,5,150,306.00,YES,-156,40,"1,607,724.00","1,607,724.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0389,333000,4009320,5,150,337.00,YES,-187,40,"1,603,728.00","1,603,728.00", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0389,332775,3966678,5,150,368.00,YES,-218,40,"1,586,671.20","1,586,671.20", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0389,328350,3963185,5,150,306.00,YES,-156,40,"1,585,274.00","1,585,274.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0389,328500,3955140,5,150,337.00,YES,-187,40,"1,582,056.00","1,582,056.00", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0145,490275,5270456,6,180,490.00,YES,-310,30,"1,581,136.80","1,581,136.80", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0389,327175,3949002,5,150,276.00,YES,-126,40,"1,579,600.80","1,579,600.80", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0145,486000,5224500,6,180,368.00,YES,-188,30,"1,567,350.00","1,567,350.00", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0145,486000,5224500,6,180,337.00,YES,-157,30,"1,567,350.00","1,567,350.00", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0145,484500,5208375,6,180,368.00,YES,-188,30,"1,562,512.50","1,562,512.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0145,484075,5203806,6,180,337.00,YES,-157,30,"1,561,141.80","1,561,141.80", -   
2024-10-31,45596,CHINA-WAREHOUSE,MAT-0389,317875,3849466,5,150,245.00,YES,-95,40,"1,539,786.40","1,539,786.40", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0389,317975,3837958,5,150,306.00,YES,-156,40,"1,535,183.20","1,535,183.20", -   
2024-09-30,45565,CHINA-WAREHOUSE,MAT-0389,317875,3836751,5,150,276.00,YES,-126,40,"1,534,700.40","1,534,700.40", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0389,328500,3833595,5,150,398.00,YES,-248,40,"1,533,438.00","1,533,438.00", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0001,316450,3806894,3,90,550.00,YES,-460,40,"1,522,757.60","1,522,757.60", -   
2023-12-31,45291,CHINA-WAREHOUSE,MAT-0145,470950,5062713,6,180,550.00,YES,-370,30,"1,518,813.90","1,518,813.90", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0389,303000,3675390,5,150,215.00,YES,-65,40,"1,470,156.00","1,470,156.00", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0389,320925,3655336,5,150,519.00,YES,-369,40,"1,462,134.40","1,462,134.40", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0389,320925,3655336,5,150,490.00,YES,-340,40,"1,462,134.40","1,462,134.40", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0389,320925,3655336,5,150,459.00,YES,-309,40,"1,462,134.40","1,462,134.40", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0389,320275,3647932,5,150,429.00,YES,-279,40,"1,459,172.80","1,459,172.80", -   
2024-06-30,45473,CHINA-WAREHOUSE,MAT-0142,388500,4125870,6,180,368.00,YES,-188,35,"1,444,054.50","1,444,054.50", -   
2024-07-31,45504,CHINA-WAREHOUSE,MAT-0389,298500,3593940,5,150,337.00,YES,-187,40,"1,437,576.00","1,437,576.00", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0145,445175,4785631,6,180,184.00,YES,-4,30,"1,435,689.30","1,435,689.30", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0270,425775,4100213,5,150,429.00,YES,-279,35,"1,435,074.55","1,435,074.55", -   
2024-01-31,45322,CHINA-WAREHOUSE,MAT-0001,296900,3571707,3,90,519.00,YES,-429,40,"1,428,682.80","1,428,682.80", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0001,296900,3571707,3,90,490.00,YES,-400,40,"1,428,682.80","1,428,682.80", -   
2024-03-31,45382,CHINA-WAREHOUSE,MAT-0001,296900,3571707,3,90,459.00,YES,-369,40,"1,428,682.80","1,428,682.80", -   
2023-12-31,45291,SINGAPORE-WAREHOUSE,MAT-0293,3000,5700000,5,150,550.00,YES,-400,25,"1,425,000.00","1,425,000.00", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0145,439325,4722744,6,180,429.00,YES,-249,30,"1,416,823.20","1,416,823.20", -   
2024-05-31,45443,CHINA-WAREHOUSE,MAT-0321,769775,5657846,3,90,398.00,YES,-308,25,"1,414,461.50","1,414,461.50", -   
2024-04-30,45412,CHINA-WAREHOUSE,MAT-0001,292350,3516971,3,90,429.00,YES,-339,40,"1,406,788.40","1,406,788.40", -   
2024-11-30,45626,CHINA-WAREHOUSE,MAT-0145,434825,4674369,6,180,215.00,YES,-35,30,"1,402,310.70","1,402,310.70", -   
2024-12-31,45657,CHINA-WAREHOUSE,MAT-0145,434825,4674369,6,180,184.00,YES,-4,30,"1,402,310.70","1,402,310.70", -   
2024-08-31,45535,CHINA-WAREHOUSE,MAT-0001,290950,3500129,3,90,306.00,YES,-216,40,"1,400,051.60","1,400,051.60", -   
2024-02-29,45351,CHINA-WAREHOUSE,MAT-0322,614500,4664055,4,120,490.00,YES,-370,30,"1,399,216.50","1,399,216.50", -   
